연도,분기,버스정류장ARS번호,00~06_승하차_승객수,06~11_승하차_승객수,11~14_승하차_승객수,14~17_승하차_승객수,17~21_승하차_승객수,21~24_승하차_승객수,X좌표,Y좌표,버스정류장_위경도_값
2020,3분기,23149,16622,141755,64086,73567,102767,40046,127.0310097,37.52847448,"37.52847448, 127.0310097"
2020,4분기,23149,15027,134537,60825,72633,95582,34427,127.0310097,37.52847448,"37.52847448, 127.0310097"
2020,1분기,23150,2370,30855,8726,8366,15368,4627,127.1047391,37.48457671,"37.48457671, 127.1047391"
2020,2분기,23150,2730,39830,11792,11548,21532,6625,127.1047391,37.48457671,"37.48457671, 127.1047391"
2020,3분기,23150,3592,71061,23141,23573,38746,11611,127.1047391,37.48457671,"37.48457671, 127.1047391"
2020,4분기,23150,3251,63316,19994,20095,33473,9634,127.1047391,37.48457671,"37.48457671, 127.1047391"
2020,1분기,23151,2744,22799,15362,20010,38113,12205,127.0306739,37.52060072,"37.52060072, 127.0306739"
2020,2분기,23151,2601,21156,15045,19514,37228,11792,127.0306739,37.52060072,"37.52060072, 127.0306739"
2020,3분기,23151,2549,20656,15593,19807,38677,12877,127.0306739,37.52060072,"37.52060072, 127.0306739"
2020,4분기,23151,2087,19239,14099,18343,35283,11421,127.0306739,37.52060072,"37.52060072, 127.0306739"
2020,1분기,23152,2814,11445,4901,5736,11606,3675,127.0333763,37.52212842,"37.52212842, 127.0333763"
2020,2분기,23152,2706,11478,5182,5467,12134,3998,127.0333763,37.52212842,"37.52212842, 127.0333763"
2020,3분기,23152,2788,11086,4930,5544,12643,4185,127.0333763,37.52212842,"37.52212842, 127.0333763"
2020,4분기,23152,2646,10558,4792,5484,12772,3511,127.0333763,37.52212842,"37.52212842, 127.0333763"
2020,1분기,23153,1817,13830,7173,7611,11229,3786,127.0332071,37.52673409,"37.52673409, 127.0332071"
2020,2분기,23153,1916,14385,7519,8103,11786,4163,127.0332071,37.52673409,"37.52673409, 127.0332071"
2020,3분기,23153,1987,14403,7286,7867,12646,4194,127.0332071,37.52673409,"37.52673409, 127.0332071"
2020,4분기,23153,2033,13736,6831,7453,11023,3206,127.0332071,37.52673409,"37.52673409, 127.0332071"
2020,1분기,23154,6537,21829,8558,7817,9417,3246,127.0338028,37.53007813,"37.53007813, 127.0338028"
2020,2분기,23154,7025,21808,9023,8774,9766,3646,127.0338028,37.53007813,"37.53007813, 127.0338028"
2020,3분기,23154,7138,21857,8673,8162,9748,3477,127.0338028,37.53007813,"37.53007813, 127.0338028"
2020,4분기,23154,6353,20434,8670,8321,8952,3183,127.0338028,37.53007813,"37.53007813, 127.0338028"
2020,1분기,23155,3122,43232,16034,20777,46580,15099,127.0348378,37.52190091,"37.52190091, 127.0348378"
2020,2분기,23155,3051,42228,15616,20278,44049,14196,127.0348378,37.52190091,"37.52190091, 127.0348378"
2020,3분기,23155,2847,43751,15699,20606,45461,14529,127.0348378,37.52190091,"37.52190091, 127.0348378"
2020,4분기,23155,2576,40660,14657,19588,40858,13540,127.0348378,37.52190091,"37.52190091, 127.0348378"
2020,1분기,23156,5205,57799,29163,37713,60302,23176,127.0365188,37.52887293,"37.52887293, 127.0365188"
