매출,기준_년_코드,상권_구분_코드_명,상권_코드,상권_코드_명,시간대,분기,점포수,총 상주인구 수,총 가구 수,총_직장인구_수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,총_생활인구_수,시간대_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,집객시설_수,관공서_수,은행_수,백화점_수,숙박_시설_수,area,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,시간대_버스_승하차승객수,시간대_지하철_승하차승객수,버스정류장_수,지하철역_수
89682.42735,2020,발달상권,2120217,대치사거리,1,2,18,3938,2041,2779,99,31,314,265,213,65,19,47,1316823,244592,199323,199270,199330,197848,194678,166622,159752,35,0,3,0,18,159410,314283,190885,235798,261400,161210,153246,5080,0,5,0
7.367216117,2020,발달상권,2120218,코엑스,1,2,24,19,11,290,0,0,0,0,0,0,0,0,39368,2335,6113,6182,6237,6284,6247,4486,3822,32,3,7,0,0,145396,1894,8871,11379,8352,4730,4142,11640,0,3,0
79271.54351,2020,발달상권,2120219,은마아파트,1,2,37,1115,446,17161,18,0,13,24,37,19,48,71,1035091,165458,142804,142639,142827,143125,144038,165098,154559,62,0,6,0,1,149660,402158,106568,93540,187294,124884,120648,15477,0,7,0
25981.31364,2020,발달상권,2120220,대치역,1,2,24,845,264,5578,2,0,0,0,0,0,0,212,508897,79371,72034,71503,71241,72664,73071,77881,70504,82,1,8,0,0,163253,181826,45273,42313,96828,65368,77289,14591,9011,5,1
44718.03644,2020,발달상권,2120221,봉은사역,1,2,19,659,451,19513,7,0,5,42,23,31,1,75,505153,69349,81994,81179,81335,81870,78053,53465,47258,48,3,6,0,7,124925,50612,86773,119884,104292,66788,76805,24630,7699,6,1
25862.15362,2020,발달상권,2120222,삼성역,1,2,49,596,375,43324,8,0,3,24,31,7,31,3,997568,70099,171017,169564,171957,171365,164119,83452,66095,107,4,15,1,8,356336,75636,209388,287161,206689,114383,104312,92023,42389,13,1
2632.228938,2020,발달상권,2120223,휘문고교사거리,1,2,6,332,111,9166,9,0,3,20,23,3,0,34,195770,18859,32187,31944,32873,32711,31492,18764,15796,21,0,0,0,0,133569,27564,33760,48270,40949,22879,22347,8282,0,5,0
133208.081,2020,발달상권,2120224,수서역,1,2,27,633,434,12418,0,0,0,0,0,0,0,0,213946,40887,33015,32857,33152,33107,32900,25623,23292,42,0,4,0,0,60183,20148,22807,37956,35142,31228,66665,8605,42489,4,1
83892.72894,2020,전통시장,2130303,영동전통시장,1,2,3,1169,724,242,18,13,104,77,9,10,0,2,437583,82988,64369,65028,65705,66309,67378,58521,50273,7,0,0,0,3,39097,23324,107867,112719,76165,49648,67862,0,0,0,0
65953.49451,2020,전통시장,2130310,강남개포시장,1,2,9,108,83,298,0,0,0,0,0,0,0,0,187991,14986,26478,26326,27592,27157,27351,28099,24988,26,0,3,0,3,25363,39710,20873,20585,34230,28998,43595,2000,3817,2,1
